"Delay","Load","Wind","Temp","Turnaround","ArrDep","WindDir","Precip","Date","SchDepTime","Terminal","Delayed","Airport"
31.3,"71.3%","12.6","-7","1H 4M",2,"E","snowice","01-Jan-21","14:10","T2","yes","Aberdeen"
0,"62.6%","3.2","-5.2","1H 38M",0,"S","none","02-Jan-21","14:10","T1","no","Aberdeen"
16.2,"88.3%","","","1H 18M",2,"S","rain","03-Jan-21","06:55","T1","yes","Aberdeen"
5.3,"78.6%","3.7","-8.2","1H 9M",4,"S","snowice","04-Jan-21","06:55","T2","yes","Aberdeen"
57.4,"76.9%","11.4","-0.6","1H 6M",2,"W","snowice","05-Jan-21","14:10","T1","yes","Aberdeen"
0,"81.1%","5.1","-9.2","1H 37M",1,"S","rain","06-Jan-21","06:55","T1","no","Aberdeen"
9.1,"79.7%","2.1","-3.2","1H 15M",4,"S","snowice","07-Jan-21","20:15","T2","yes","Aberdeen"
76.9,"94.1%","16.3","-1.4","0H 18M",5,"E","snowice","08-Jan-21","06:55","T1","yes","Aberdeen"
9.4,"73.1%","3.4","3.3","0H 56M",3,"S","rain","09-Jan-21","14:10","T2","yes","Aberdeen"
23.5,"77.2%","5.8","-1.7","1H 9M",5,"N","snowice","10-Jan-21","20:15","T2","yes","Aberdeen"
9.3,"70.4%","3.8","2.8","1H 38M",2,"E","rain","11-Jan-21","14:10","T2","yes","Aberdeen"
0,"79%","17.5","-7.2","1H 43M",1,"S","none","12-Jan-21","06:55","T1","no","Aberdeen"
0,"76.8%","5.3","-8.4","1H 47M",2,"S","none","13-Jan-21","14:10","T1","no","Aberdeen"
31.7,"72.2%","9.1","7.9","1H 31M",0,"W","rain","14-Jan-21","14:10","T1","yes","Aberdeen"
0,"65.1%","2","-7.9","2H 0M",0,"S","none","15-Jan-21","06:55","T1","no","Aberdeen"
38.1,"74.2%","10","7","0H 51M",4,"E","rain","16-Jan-21","20:15","T1","yes","Aberdeen"
27.3,"82.5%","13.4","-0.2","0H 47M",6,"S","none","17-Jan-21","14:10","T2","yes","Aberdeen"
11.5,"79.9%","10.9","-6.4","1H 41M",3,"E","rain","18-Jan-21","14:10","T2","yes","Aberdeen"
0,"76.2%","10.2","-4.3","0H 52M",4,"S","none","19-Jan-21","14:10","T1","no","Aberdeen"
5.6,"81.8%","8.3","-7.4","1H 12M",4,"S","rain","20-Jan-21","06:55","T1","yes","Aberdeen"
0,"77.2%","1.1","-1.5","1H 14M",4,"S","snowice","21-Jan-21","14:10","T1","no","Aberdeen"
9.7,"85.7%","8.9","-6.2","1H 30M",3,"S","none","22-Jan-21","14:10","T1","yes","Aberdeen"
27.4,"70.7%","10","3.7","1H 27M",5,"W","rain","23-Jan-21","20:15","T2","yes","Aberdeen"
13.1,"92.8%","5.6","-5.9","1H 41M",4,"S","none","24-Jan-21","20:15","T1","yes","Aberdeen"
0,"74.2%","8.7","-6.8","1H 6M",5,"E","snowice","25-Jan-21","14:10","T2","no","Aberdeen"
13.8,"85.9%","2.2","4.2","1H 29M",2,"S","rain","26-Jan-21","14:10","T1","yes","Aberdeen"
15.8,"78.8%","5.3","0.4","1H 7M",5,"N","snowice","27-Jan-21","14:10","T2","yes","Aberdeen"
19.4,"69.7%","9.5","16","0H 58M",1,"W","rain","28-Jan-21","06:55","T1","yes","Aberdeen"
37.3,"86%","7.1","4","1H 13M",6,"N","rain","29-Jan-21","20:15","T2","yes","Aberdeen"
8.4,"83.6%","4.7","-2.2","1H 22M",3,"S","rain","30-Jan-21","06:55","T1","yes","Aberdeen"
14.4,"80.4%","3.8","3","1H 49M",4,"S","rain","31-Jan-21","20:15","T1","yes","Aberdeen"
0,"77.4%","4.5","1.2","1H 41M",2,"N","rain","01-Feb-21","14:10","T2","no","Aberdeen"
6.8,"83.5%","5.3","-5.7","1H 20M",4,"E","snowice","02-Feb-21","06:55","T2","yes","Aberdeen"
28.2,"90.8%","10.6","-7.3","1H 27M",8,"E","rain","03-Feb-21","20:15","T2","yes","Aberdeen"
5.7,"81.4%","8.9","-1.9","1H 29M",4,"S","none","04-Feb-21","14:10","T2","yes","Aberdeen"
11.8,"82.2%","1.8","2.9","1H 2M",6,"S","rain","05-Feb-21","20:15","T1","yes","Aberdeen"
89,"96.6%","9.6","13.7","0H 30M",6,"W","rain","06-Feb-21","14:10","T1","yes","Aberdeen"
7.2,"84.2%","3.5","7.6","1H 5M",2,"S","none","07-Feb-21","06:55","T1","yes","Aberdeen"
24.5,"78.3%","4.1","16.2","0H 45M",3,"N","rain","08-Feb-21","06:55","T1","yes","Aberdeen"
14.9,"77.3%","2.1","13","0H 52M",3,"S","rain","09-Feb-21","06:55","T1","yes","Aberdeen"
12.2,"83.2%","5.4","-1.4","0H 58M",6,"S","rain","10-Feb-21","14:10","T2","yes","Aberdeen"
42.4,"84.4%","11","4.8","1H 7M",5,"W","rain","11-Feb-21","14:10","T2","yes","Aberdeen"
31.6,"96%","9.6","7.9","1H 4M",3,"S","none","12-Feb-21","06:55","T1","yes","Aberdeen"
0,"71.9%","0.9","-3.2","1H 3M",4,"S","snowice","13-Feb-21","06:55","T1","no","Aberdeen"
17.9,"71.2%","1.1","22.4","0H 53M",3,"N","rain","14-Feb-21","14:10","T2","yes","Aberdeen"
78.6,"86.2%","13.4","10","0H 36M",9,"W","rain","15-Feb-21","20:15","T2","yes","Aberdeen"
0,"81.1%","3.6","-2.9","1H 27M",3,"S","rain","16-Feb-21","06:55","T1","no","Aberdeen"
5,"67.3%","2.9","12.4","1H 11M",3,"E","rain","17-Feb-21","14:10","T2","yes","Aberdeen"
22.2,"75.7%","4.4","7.7","1H 28M",4,"W","rain","18-Feb-21","20:15","T2","yes","Aberdeen"
19.3,"88.7%","5","4","1H 39M",5,"S","none","19-Feb-21","20:15","T2","yes","Aberdeen"
9.2,"97.5%","11.7","-5.8","0H 34M",5,"S","none","20-Feb-21","06:55","T1","yes","Aberdeen"
0,"69.3%","0.7","6.2","1H 47M",4,"S","rain","21-Feb-21","20:15","T1","no","Aberdeen"
